id,panel_service,member_service
1,LIPID PROFILE (HDL LDL CHOL TRIG) SERUM,CHOLESTEROL TOTAL SERUM
2,LIPID PROFILE (HDL LDL CHOL TRIG) SERUM,HDL
3,LIPID PROFILE (HDL LDL CHOL TRIG) SERUM,LDL
4,LIPID PROFILE (HDL LDL CHOL TRIG) SERUM,TRIGLYCERIDES SERUM
5,LIPID PROFILE (HDL LDL TRIG) SERUM,HDL
6,LIPID PROFILE (HDL LDL TRIG) SERUM,LDL
7,LIPID PROFILE (HDL LDL TRIG) SERUM,TRIGLYCERIDES SERUM
8,LIPID PROFILE (HDL & LDL) SERUM,HDL
9,LIPID PROFILE (HDL & LDL) SERUM,LDL
