mmc_code,name,generic_name,mmc_type,price_low,price_high,as_of,search_category,matched_terms
04400002,FROZEN CORD TISSUE CULTURE (50M),,CENTER FOR REGEN MED,296000,370000,"March 09, 2026",blood_test,CULTURE
04400063,GENETIC SCREENING PRE-ANA PACKAGE,,CENTER FOR REGEN MED,1550,2000,"March 09, 2026",blood_test,PACKAGE
04400078,IDYLLA COLORECTAL PACKAGE,,CENTER FOR REGEN MED,70900,127400,"July 13, 2026",blood_test,PACKAGE
04400039,IMMUNODEFICIENCY PANEL PACKAGE,,CENTER FOR REGEN MED,19000,63700,"August 04, 2026",blood_test,PANEL;PACKAGE
18150053,LONGEVITY INFUSION PACKAGE,,CENTER FOR REGEN MED,1160000,4260900,"March 09, 2026",blood_test,PACKAGE
04400018,MDS 5 PANEL BY FLUORESCENCE IN SITU HYBRIDIZATION (FISH),,CENTER FOR REGEN MED,48100,60200,"March 09, 2026",blood_test,PANEL
04400052,MSC QUALITY ASSESSMENT PACKAGE,,CENTER FOR REGEN MED,96000,120000,"March 09, 2026",blood_test,PACKAGE
04400045,MSC THERAPY BOOSTER PACKAGE OUP,,CENTER FOR REGEN MED,211000,211000,"August 25, 2021",blood_test,PACKAGE
04400046,MSC TRANSPLANTATION PACKAGE OUP,,CENTER FOR REGEN MED,526330,526330,"October 27, 2025",blood_test,PACKAGE
04400047,MYELOMA PANEL PACKAGE,,CENTER FOR REGEN MED,32000,98200,"August 04, 2026",blood_test,PANEL;PACKAGE
04400048,P LITE FORMULA 48 PACKAGE,,CENTER FOR REGEN MED,21930,27500,"March 09, 2026",blood_test,PACKAGE
04400049,P MAX FORMULA 80 PACKAGE,,CENTER FOR REGEN MED,25390,31800,"March 09, 2026",blood_test,PACKAGE
302,ABOVE ELBOW AMPUTATION AND BELO ELBOW AMPUTATION - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),28000,45000,"August 31, 2023",procedure,AMPUTATION
229,ABOVE ELBOW AMPUTATION AND BELO ELBOW AMPUTATION - ORTHOPEDIC SURGERY,,CLINICAL SERVICES (PROF FEE),70000,90000,"August 31, 2023",procedure,AMPUTATION
301,ABOVE KNEE AMPUTATION- BELOW KNEE AMPUTATION - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),28000,45000,"August 31, 2023",procedure,AMPUTATION
228,ABOVE KNEE AMPUTATION- BELOW KNEE AMPUTATION - ORTHOPEDIC SURGERY,,CLINICAL SERVICES (PROF FEE),70000,90000,"August 31, 2023",procedure,AMPUTATION
352,ACHILLES TENDOSCOPY - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),18000,40000,"August 31, 2023",procedure,ENDOSCOPY
