mmc_code,mmc_name,price_low,price_high,proposed_rvs,proposed_procedure,case_rate,confidence,why,alternatives
18170034,ARTHROSCOPIC MENISECTOMY PACKAGE W/ANES,124060,134060,,,,none,no candidate,
18170030,BRONCHOSCOPY PACKAGE,58740,70040,31622,"BRONCHOSCOPY; DIAGNOSTIC, (FLEXIBLE OR RIGID), W/ OR W/O CELL WASHING OR BRUSHING",21372.00,high (rates identical),root match: BRONCHOSCOPY,"31625=P21,372 | 31628=P21,372 | 31629=P21,372"
18170009,CABG OFF/ON PUMP 3 VESSELS PACKAGE,1063600,1168600,11403,"EXCISION, BENIGN LESION, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; LESION DIAMETER 2.1 TO 3.0 CM",7098.00,high (rates identical),,"11404=P7,098 | 11423=P7,098 | 11424=P7,098"
18170008,CABG OFF/ON PUMP 5 VESSELS PACKAGE,1065200,1170200,11400,"EXCISION, BENIGN LESION, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; LESION DIAMETER 0.5 CM OR LESS",7098.00,REVIEW,,"11420=P7,098 | 12031=P7,098 | 11310=P7,215"
18170039,CIRCUMCISION PACKAGE - OR,13700,17120,54150,"CIRCUMCISION, USING CLAMP OR OTHER DEVICE; NEWBORN",2457.00,high (rates identical),,"54152=P2,457 | 54160=P2,457 | 54161=P2,457"
18170033,CYSTOSCOPY PACKAGE,42500,73960,55859,"TRANSPERINEAL PLACEMENT OF NEEDLES, CATHETERS OR PELLETS INTO PROSTATE FOR INTERSTITIAL RADIOELEMENT APPLICATION, WITH OR WITHOUT CYSTOSCOPY, ULTRASOUND OR CT SCAN GUIDANCE",35100.00,high,root match: CYSTOSCOPY,"50947=P45,435 | 50948=P45,435"
18170006,FISTULLECTOMY PACKAGE,62280,67280,,,,none,no candidate,
18170016,FUNCTIONAL ENDOSCOPIC SINUS SURGERY PACKAGE,105960,134960,11770,EXCISION OF PILONIDAL CYST OR SINUS,11076.00,REVIEW,,"17250=P11,076 | 31002=P15,639 | 36012=P15,639"
18170005,HEMORRHOIDECTOMY PACKAGE W/ CAUTERY,63280,68280,46260,"HEMORRHOIDECTOMY, INTERNAL AND EXTERNAL, COMPLEX OR EXTENSIVE;",23634.00,high (rates identical),root match: HEMORRHOIDECTOMY,"46221=P23,634 | 46250=P23,634 | 46255=P23,634"
18170025,HEMORRHOIDECTOMY PACKAGE W/ LIGASURE,84280,90080,46260,"HEMORRHOIDECTOMY, INTERNAL AND EXTERNAL, COMPLEX OR EXTENSIVE;",23634.00,high (rates identical),root match: HEMORRHOIDECTOMY,"46221=P23,634 | 46250=P23,634 | 46255=P23,634"
18170043,HYSTERECTOMY PACKAGE (ROBOT-ASSISTED),592000,798000,51925,CLOSURE OF VESICOUTERINE FISTULA; W/ HYSTERECTOMY,59085.00,high (rates identical),root match: HYSTERECTOMY,"58260=P59,085 | 58262=P59,085 | 58550=P59,085"
18170018,INFERIOR VENA CAVA (IVC) FILTER INSERTION PACKAGE,136400,158400,36010,"INTRODUCTION OF CATHETER, SUPERIOR OR INFERIOR VENA CAVA",7098.00,REVIEW,,"50725=P45,435 | 75940=P45,435 | 33766=P59,085"
18170020,INTRA CORPOREAL LITHOTRIPSY SPINAL PACKAGE,118600,131000,62272,"SPINAL PUNCTURE , THERAPEUTIC, FOR DRAINAGE OF SPINAL FLUID (BY NEEDLE OR CATHETER)",10842.00,REVIEW,,"96450=P10,842 | 53605=P11,076 | 53665=P11,076"
18170042,LAP PROSTATECTOMY (ROBOT-ASSISTED),597500,771000,55866,"LAPAROSCOPY, SURGICAL PROSTATECTOMY, RETROPUBIC RADICAL, INCLUDING NERVE SPARING",90675.00,high,root match: PROSTATECTOMY; approach agrees (lap); candidate adds: RADICAL,"55810=P90,675 | 55840=P90,675"
18170011,LAPAROSCOPIC CHOLECYSTECTOMY PACKAGE,150000,184000,47562,"LAPAROSCOPY, SURGICAL; CHOLECYSTECTOMY (ANY METHOD)",60450.00,REVIEW,root match: CHOLECYSTECTOMY; approach agrees (lap),"47563=P60,450 | 47564=P90,675 | 47600=P60,450"
18170040,LAPAROSCOPIC CHOLECYSTECTOMY W/ ICG PACKAGE,174500,208500,47562,"LAPAROSCOPY, SURGICAL; CHOLECYSTECTOMY (ANY METHOD)",60450.00,REVIEW,root match: CHOLECYSTECTOMY; approach agrees (lap),"47563=P60,450 | 47564=P90,675 | 47600=P60,450"
18170028,LOWER EXTREMITY SURGERY TOTAL KNEE REPLACE BARRIER EXTREMITY PACKAGE,268000,334000,27488,"REMOVAL OF KNEE PROSTHESIS, INCLUDING ""TOTAL KNEE"" METHYLMETHACRYLATE AND INSERTION OF SPACER, WHEN APPLICABLE",72501.00,REVIEW,qualifier match: TOTAL,"29445=P11,076 | 68362=P23,361 | 23332=P29,172"
18170037,MICRODISCECTOMY PACKAGE,216300,216300,,,,none,no candidate,
18170010,MODIFIED RADICAL MASTECTOMY SURGERY PACKAGE,154200,164200,19240,"MASTECTOMY, MODIFIED RADICAL, INCLUDING AXILLARY LYMPH NODES, W/ OR W/O PECTORALIS MINOR MUSCLE, BUT EXCLUDING PECTORALIS MAJOR MUSCLE",42900.00,high,root match: MASTECTOMY; qualifier match: MODIFIED/RADICAL,"19200=P42,900 | 19220=P42,900 | 19140=P42,900"
18170032,OPEN HEPATECTOMY SURGERY PACKAGE,244400,278400,47134,"DONOR HEPATECTOMY, W/ PREPARATION AND MAINTENANCE OF ALLOGRAFT; PARTIAL, FROM LIVING DONOR",90675.00,high,root match: HEPATECTOMY; candidate adds: PARTIAL,
18170021,OPEN INGUINAL HERNIA W/ MESH PACKAGE,82600,92600,47380,"ABLATION, OPEN, OF OR MORE LIVER TUMOR(S); RADIOFREQUENCY",18915.00,REVIEW,approach agrees (open),"47381=P18,915 | 50250=P18,915 | 28465=P19,734"
18170003,PERM CATHETER INSERTION PACKAGE OUP,87800,87800,51010,ASPIRATION OF BLADDER; BY TROCAR OR INTRACATHETER W/ INSERTION OF SUPRAPUBIC CATHETER,11076.00,REVIEW,,"49420=P16,107 | 36568=P18,915 | 93503=P18,915"
